ID,EPOCH,BATCH,LOSS
0,1,1,0.34786632657051086
0,1,2,0.27318063378334045
0,1,3,0.17090706527233124
0,1,4,0.1451478749513626
0,1,5,0.10418209433555603
0,1,6,0.10086185485124588
0,2,1,0.06766623258590698
0,2,2,0.0856933742761612
0,2,3,0.07160017639398575
0,2,4,0.06289307028055191
0,2,5,0.048471346497535706
0,2,6,0.04690169170498848
0,3,1,0.03906510770320892
0,3,2,0.03682505711913109
0,3,3,0.04384865239262581
0,3,4,0.032158736139535904
0,3,5,0.03159260377287865
0,3,6,0.028301481157541275
0,4,1,0.026331080123782158
0,4,2,0.025232510641217232
0,4,3,0.026354996487498283
